citycode,date,pollen
21201,2026-03-01T00:00:00+09:00,3
21201,2026-03-01T01:00:00+09:00,8
21201,2026-03-01T02:00:00+09:00,6
21201,2026-03-01T03:00:00+09:00,8
21201,2026-03-01T04:00:00+09:00,3
21201,2026-03-01T05:00:00+09:00,1
21201,2026-03-01T06:00:00+09:00,2
21201,2026-03-01T07:00:00+09:00,0
21201,2026-03-01T08:00:00+09:00,0
21201,2026-03-01T09:00:00+09:00,2
21201,2026-03-01T10:00:00+09:00,4
21201,2026-03-01T11:00:00+09:00,11
21201,2026-03-01T12:00:00+09:00,27
21201,2026-03-01T13:00:00+09:00,16
21201,2026-03-01T14:00:00+09:00,21
21201,2026-03-01T15:00:00+09:00,32
21201,2026-03-01T16:00:00+09:00,40
21201,2026-03-01T17:00:00+09:00,24
21201,2026-03-01T18:00:00+09:00,14
21201,2026-03-01T19:00:00+09:00,6
21201,2026-03-01T20:00:00+09:00,7
21201,2026-03-01T21:00:00+09:00,2
21201,2026-03-01T22:00:00+09:00,0
21201,2026-03-01T23:00:00+09:00,0
21201,2026-03-02T00:00:00+09:00,0
21201,2026-03-02T01:00:00+09:00,1
21201,2026-03-02T02:00:00+09:00,0
21201,2026-03-02T03:00:00+09:00,1
21201,2026-03-02T04:00:00+09:00,0
21201,2026-03-02T05:00:00+09:00,0
21201,2026-03-02T06:00:00+09:00,0
21201,2026-03-02T07:00:00+09:00,-9999
21201,2026-03-02T08:00:00+09:00,1
21201,2026-03-02T09:00:00+09:00,0
21201,2026-03-02T10:00:00+09:00,1
21201,2026-03-02T11:00:00+09:00,0
21201,2026-03-02T12:00:00+09:00,1
21201,2026-03-02T13:00:00+09:00,0
21201,2026-03-02T14:00:00+09:00,1
21201,2026-03-02T15:00:00+09:00,4
21201,2026-03-02T16:00:00+09:00,0
21201,2026-03-02T17:00:00+09:00,0
21201,2026-03-02T18:00:00+09:00,0
21201,2026-03-02T19:00:00+09:00,1
21201,2026-03-02T20:00:00+09:00,2
21201,2026-03-02T21:00:00+09:00,3
21201,2026-03-02T22:00:00+09:00,2
21201,2026-03-02T23:00:00+09:00,0
21201,2026-03-03T00:00:00+09:00,0
21201,2026-03-03T01:00:00+09:00,0
21201,2026-03-03T02:00:00+09:00,0
21201,2026-03-03T03:00:00+09:00,0
21201,2026-03-03T04:00:00+09:00,0
21201,2026-03-03T05:00:00+09:00,0
21201,2026-03-03T06:00:00+09:00,0
21201,2026-03-03T07:00:00+09:00,0
21201,2026-03-03T08:00:00+09:00,0
21201,2026-03-03T09:00:00+09:00,0
21201,2026-03-03T10:00:00+09:00,0
21201,2026-03-03T11:00:00+09:00,0
21201,2026-03-03T12:00:00+09:00,0
21201,2026-03-03T13:00:00+09:00,0
21201,2026-03-03T14:00:00+09:00,0
21201,2026-03-03T15:00:00+09:00,0
21201,2026-03-03T16:00:00+09:00,0
21201,2026-03-03T17:00:00+09:00,0
21201,2026-03-03T18:00:00+09:00,0
21201,2026-03-03T19:00:00+09:00,0
21201,2026-03-03T20:00:00+09:00,0
21201,2026-03-03T21:00:00+09:00,0
21201,2026-03-03T22:00:00+09:00,0
21201,2026-03-03T23:00:00+09:00,0
21201,2026-03-04T00:00:00+09:00,0
21201,2026-03-04T01:00:00+09:00,1
21201,2026-03-04T02:00:00+09:00,6
21201,2026-03-04T03:00:00+09:00,5
21201,2026-03-04T04:00:00+09:00,6
21201,2026-03-04T05:00:00+09:00,1
21201,2026-03-04T06:00:00+09:00,4
21201,2026-03-04T07:00:00+09:00,12
21201,2026-03-04T08:00:00+09:00,1
21201,2026-03-04T09:00:00+09:00,8
21201,2026-03-04T10:00:00+09:00,34
21201,2026-03-04T11:00:00+09:00,48
21201,2026-03-04T12:00:00+09:00,24
21201,2026-03-04T13:00:00+09:00,26
21201,2026-03-04T14:00:00+09:00,22
21201,2026-03-04T15:00:00+09:00,14
21201,2026-03-04T16:00:00+09:00,3
21201,2026-03-04T17:00:00+09:00,4
21201,2026-03-04T18:00:00+09:00,5
21201,2026-03-04T19:00:00+09:00,5
21201,2026-03-04T20:00:00+09:00,1
21201,2026-03-04T21:00:00+09:00,3
21201,2026-03-04T22:00:00+09:00,3
21201,2026-03-04T23:00:00+09:00,2
